restaurant_name,address,tags,lat,lon
BAYVIEW DINER,"134 PENNYFIELD AVE BRONX NY, 10465",Pizza/Italian,40.811325,-73.80509
DUNKIN' DONUTS,"4147 THROGS NECK EXPRESSWAY BRONX NY, 10465",Donuts,40.819496,-73.80899
ORCHARD BEACH SNACK BAR SECTION 5,"1 ORCHARD BEACH RD BRONX NY, 10464",Coffee/Tea,40.86856,-73.81059
ORCHARD BEACH SNACK BAR SECTION #7,"1 ORCHARD BEACH RD BRONX NY, 10464",Coffee/Tea,40.86856,-73.81059
ORCHARD BEACH SNACK BAR SECTION 10,"1 ORCHARD BEACH RD BRONX NY, 10464",Coffee/Tea,40.86856,-73.81059
Cross Bronx Kitchen & Deli,"3035 CROSS BRONX EXPWY BRONX NY, 10465",American,40.820175,-73.811966
TURTLE COVE GOLF CENTER,"1 CITY ISLAND RD BRONX NY, 10464",American,40.86428,-73.81296
THE WATERFRONT RESTAURANT,"748 CLARENCE AVE BRONX NY, 10465",American,40.83039,-73.81573
AMERICAN TURNERS NEW YORK,"748 CLARENCE AVE BRONX NY, 10465",Armenian,40.83039,-73.81573
WHITE CROSS FISHING CLUB BAR & GRILL,"750 CLARENCE AVENUE BRONX NY, 10465",American,40.830425,-73.81576
ALFIE'S PLACE,"3037 E 177TH ST BRONX NY, ",American,40.822006,-73.81683
ALFIE'S PLACE,"3037 E 177TH ST BRONX NY, ",American,40.822006,-73.81684
NEW HAWAII II,"4112 E TREMONT AVE BRONX NY, 10465",Chinese,40.818775,-73.817085
NEW GREEN DRAGON,"4111 E TREMONT AVE BRONX NY, 10465",Chinese,40.818806,-73.817085
FRANK'S PIZZA,"4106 EAST TREMONT AVENUE BRONX NY, 10465",Pizza,40.81885,-73.81713
BRIDGES BAR,"4100 EAST TREMONT AVENUE BRONX NY, 10465",American,40.818928,-73.81717
MUSCLE MAKER GRILL,"4041 EAST TREMONT AVENUE BRONX NY, 10465",American,40.819542,-73.81752
THE MILES COFFEE BAR,"4039 E TREMONT AVE BRONX NY, 10465",Coffee/Tea,40.819553,-73.81753
TOMMY'S PIZZA,"4033 EAST TREMONT AVENUE BRONX NY, 10465",Pizza,40.8196,-73.81755
TOSCA MARQUEE,"4034 EAST TREMONT AVENUE BRONX NY, 10465",American,40.819607,-73.81757
The Wicked Wolf,"4029 EAST TREMONT AVENUE BRONX NY, 10465",Irish,40.81963,-73.81757
THROGGS NECK FRIED CHICKEN,"4011 E TREMONT AVE BRONX NY, 10465",Chicken,40.820038,-73.81781
XING HUI LINDA KITCHEN,"4006 EAST TREMONT AVENUE BRONX NY, 10465",Chinese,40.82025,-73.817955
LORETTA'S PIZZA,"3276 LAYTON AVENUE BRONX NY, 10465",Pizza,40.835552,-73.81798
PARQ,"4001 E TREMONT AVE BRONX NY, 10465",American,40.820427,-73.81805
P.J. BRADY'S TAVERN,"3201 PHILIP AVE BRONX NY, 10465",American,40.83059,-73.81805
VILLA BARONE MANOR,"737 THROGS NECK EXPRESSWAY BRONX NY, 10465",American,40.828396,-73.8188
INTERNATIONAL CATERERS,"3243 AMPERE AVENUE BRONX NY, 10465",American,40.846188,-73.8192
PATRICIA'S,"3883 EAST TREMONT AVENUE BRONX NY, 10465",Italian,40.82325,-73.819664
Country Bay Pizza,"3233 AMPERE AVE BRONX NY, 10465",Other,40.846203,-73.81967
THE ORIGINAL EMILIO'S PIZZA,"3843 EAST TREMONT AVENUE BRONX NY, 10465",Pizza,40.82398,-73.82002
CHINA WOK,"3839 E TREMONT AVE BRONX NY, 10465",Chinese,40.824047,-73.82006
TRAVESIAS CAFE/LA PARADA,"3830-34 E TREMONT AVE BRONX NY, 10465","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.824516,-73.820305
IHOP,"4340 BOSTON ROAD BRONX NY, 10475",Pancakes/Waffles,40.889687,-73.8204
YAMADA JAPANESE RESTAURANT,"3811 EAST TREMONT AVENUE BRONX NY, 10465",Japanese,40.824757,-73.820404
SMASHBURGER,"4325 BOSTON RD BRONX NY, 10466",Hamburgers,40.88968,-73.820435
WENDY'S,"4330 BOSTON ROAD BRONX NY, 10475",American,40.889637,-73.82049
SUGI SUSHI,"3799 EAST TREMONT AVENUE BRONX NY, 10465",Japanese,40.825035,-73.82055
CABO RESTAURANT,"3764 E TREMONT AVE BRONX NY, 10465",Mexican,40.82578,-73.8212
VAPOR LOUNGE,"3758 E TREMONT AVE BRONX NY, 10465",American,40.82592,-73.82136
DUNKIN' DONUTS,"3732 EAST TREMONT AVENUE BRONX NY, 10465",Coffee/Tea,40.82648,-73.82201
SECTION 5 PIZZA,"133 EINSTEIN LOOP BRONX NY, 10475",American,40.865093,-73.82205
PETE'S RESTAURANT & DONUT SHOP,"3725 EAST TREMONT AVENUE BRONX NY, 10465",Coffee/Tea,40.826595,-73.82212
BREWSKI'S BAR & GRILL,"3718 EAST TREMONT AVENUE BRONX NY, 10465",American,40.826714,-73.82227
JADE PALACE,"163 EINSTEIN LOOP BRONX NY, 10475",Chinese,40.86523,-73.82238
ANDY'S TERIYAKI & TACO,"171 EINSTEIN LOOP BRONX NY, 10475",Tex-Mex,40.86527,-73.822464
DOMINO'S,"3706 EAST TREMONT AVENUE BRONX NY, 10465",Pizza,40.826992,-73.82259
REDWOOD PLEASUE CLUB,"2680 SCHURZ AVE BRONX NY, 10465",American,40.813145,-73.82316
MCDONALD'S,"3660 EAST TREMONT AVENUE BRONX NY, 10465",Hamburgers,40.827637,-73.823326
BOWLER LAND,"2417 HOLLERS AVENUE BRONX NY, 10475",American,40.88572,-73.82333
TACO BELL,"3351 CONNER ST BRONX NY, 10475",Mexican,40.88217,-73.82338
FRANK AND JOE'S DELI,"3639 E TREMONT AVE BRONX NY, 10465",Delicatessen,40.82827,-73.82395
APPLEBEE'S,"2276 BARTOW AVENUE BRONX NY, 10475",American,40.869102,-73.82411
CESTRA'S PIZZA,"3617 EAST TREMONT AVENUE BRONX NY, 10465",Pizza,40.828716,-73.82438
OHANA TREMONT,"3604 E TREMONT AVE BRONX NY, 10465",Asian,40.82878,-73.824455
CASA RESTAURANT & LOUNGE,"3607 E TREMONT AVE BRONX NY, 10465","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.82887,-73.824524
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,"691 CO-OP CITY BOULEVARD BRONX NY, 10475",Caribbean,40.879646,-73.82472
BAGEL CAFE,"2214 BARTOW AVE BRONX NY, 10475",Delicatessen,40.869225,-73.82477
AMC THEATRES,"2210 BARTOW AVENUE BRONX NY, 10475",American,40.869232,-73.82481
QUALITY FOOD CHINESE RESTAURANT,"3573 E TREMONT AVE BRONX NY, 10465",Chinese,40.829597,-73.8252
JJ BUSCO'S SANDWICH SHOPPE & GRILLE,"2990 BRUCKNER BLVD BRONX NY, 10465",Sandwiches,40.83435,-73.82552
TAQUERIA LUPITA,"3550 E TREMONT AVE BRONX NY, 10465",Mexican,40.83005,-73.825645
DRAGON CITY,"2102 BARTOW AVE BRONX NY, 10475",Chinese,40.8694,-73.82596
DALLAS BBQ,"2100 BARTOW AVE BRONX NY, 10475",American,40.8694,-73.82598
LEGENDARY BAR & GRILL,"3513 E TREMONT AVE BRONX NY, 10465",American,40.830837,-73.826355
OLD WAH YOAN KITCHEN,"3486 EAST TREMONT AVENUE BRONX NY, 10465",Chinese,40.83134,-73.82682
RED LOBSTER,"2090 BARTOW AVE BRONX NY, 10475",Seafood,40.86946,-73.826866
SANGRIA CAFE,"2085 BARTOW AVE BRONX NY, 10475",Korean,40.869473,-73.8272
SUBWAY,"3683 BRUCKNER BOULEVARD BRONX NY, 10461",Sandwiches,40.85243,-73.8273
"DUNKIN' DONUTS, BASKIN ROBBINS","3685 BRUCKNER BOULEVARD BRONX NY, 10461",Donuts,40.852467,-73.82731
MCDONALD'S,"3550 CONNER ST BRONX NY, 10475",American,40.885292,-73.82731
MAMA  PUEBLA,"3465 E TREMONT AVE BRONX NY, 10465",Mexican,40.832,-73.82737
JUICES FOR LIFE,"3463 E TREMONT AVE BRONX NY, 10465","Juice, Smoothies, Fruit Salads",40.832047,-73.82741
VILLA BARONE,"3289 WESTCHESTER AVENUE BRONX NY, 10461",Italian,40.852745,-73.827545
JENAVIES CAFE,"2920 BRUCKNER BLVD BRONX NY, 10465","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.83324,-73.82759
EL PAISANO PIZZERIA,"3444 E TREMONT AVE BRONX NY, 10465",Pizza,40.83226,-73.82761
CARVEL ICE CREAM,"3442 EAST TREMONT AVENUE BRONX NY, 10465","Ice Cream, Gelato, Yogurt, Ices",40.832302,-73.82764
THE GARAGE,"2260 TILLOTSON AVENUE BRONX NY, 10475",American,40.882298,-73.82767
TEXAS CHICKEN & BURGERS,"3275 WESTCHESTER AVE BRONX NY, 10461",American,40.852642,-73.82775
CAPRI IV DELI,"2073 BARTOW AVE BRONX NY, 10475",Delicatessen,40.869465,-73.827774
COZY COTTAGE RESTAURANT,"4105 BOSTON ROAD BRONX NY, 10466",American,40.885998,-73.8278
Burger King,"3261 WESTCHESTER AVE BRONX NY, 10461",Hamburgers,40.852444,-73.82818
THE SPOT,"4090 BOSTON RD BRONX NY, 10475",American,40.885803,-73.82826
J.R'S CABARET,"1625 EAST  233 STREET BRONX NY, 10466",American,40.888775,-73.82842
FISH N TING RESTAURANT,"4063 BOSTON ROAD BRONX NY, 10466",Caribbean,40.885635,-73.82871
XIN HI CHINESE BUFFETT,"2053 BARTOW AVE BRONX NY, 10475",Chinese,40.869396,-73.828735
TERESA'S GOURMET,"1298 CROSBY AVE BRONX NY, 10461",Bakery,40.8381,-73.82878
LOUIE & ERNIE'S,"1300 CROSBY AVE BRONX NY, 10461",Pizza,40.838173,-73.828835
CROSSTOWN DINER,"2880 BRUCKNER BOULEVARD BRONX NY, 10465",American,40.832508,-73.82892
ILLUSIONS HOOKAH & MIXOLOGY LOUNGE,"3229 WESTCHESTER AVE BRONX NY, 10461",Not Listed/Not Applicable,40.852043,-73.82906
KING HING RESTAURANT,"3227 WESTCHESTER AVENUE BRONX NY, 10461",Chinese,40.85202,-73.82911
BARTOW PIZZA,"2045 BARTOW AVE BRONX NY, 10475",Pizza,40.869335,-73.82911
JR GOURMET DELI & PRODUCE,"2045 BARTOW AVENUE BRONX NY, 10475",Delicatessen,40.869335,-73.82911
MADE IN PUERTO RICO,"3363 E TREMONT AVE BRONX NY, 10461","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.834496,-73.82931
OLIVE GARDEN,"200 BAYCHESTER AVE BRONX NY, 10475",Italian,40.863533,-73.82932
FROZEN PEAKS,"200 BAYCHESTER AVE BRONX NY, 10475","Ice Cream, Gelato, Yogurt, Ices",40.863533,-73.82932
CINNABON,"200 BAYCHESTER AVE BRONX NY, 10475",Bakery,40.863533,-73.82932
NATHAN'S FAMOUS,"200 BAYCHESTER AVE BRONX NY, 10475",Hotdogs,40.863533,-73.82932
CHICKENOW,"200 BAYCHESTER AVE BRONX NY, 10475",Chicken,40.863533,-73.82932
SBARRO,"200 BAYCHESTER AVE BRONX NY, 10475",Pizza/Italian,40.863533,-73.82932
CHARLEYS PHILLY STEAK,"200 BAYCHESTER AVE BRONX NY, 10475",American,40.863533,-73.82932
MASTER WOK,"200 BAYCHESTER AVE BRONX NY, 10475",Chinese,40.863533,-73.82932
SARKU JAPAN,"200 BAYCHESTER AVE BRONX NY, 10475",Japanese,40.863533,-73.82932
THAI MAX,"200 BAYCHESTER AVE BRONX NY, 10475",Thai,40.863533,-73.82932
BILLY BEEZ,"200 BAYCHESTER AVE BRONX NY, 10475",American,40.863533,-73.82932
SUBWAY,"200 BAYCHESTER AVE BRONX NY, 10475",Sandwiches/Salads/Mixed Buffet,40.863533,-73.82932
PRETZEL MAKER,"200 BAYCHESTER AVE BRONX NY, 10475",Bagels/Pretzels,40.863533,-73.82932
RED ROBIN GOURMET BURGERS AND BREW,"200 BAYCHESTER AVE BRONX NY, 10475",American,40.863533,-73.82932
AUNTIE ANNES,"200 BAYCHESTER AVE BRONX NY, 10475",Hotdogs/Pretzels,40.863533,-73.82932
DAIRY QUEEN GRILL & CHILL,"200 BAYCHESTER AVE BRONX NY, 10475",American,40.863533,-73.82932
MOE'S SOUTHWEST GRILL,"200 BAYCHESTER AVE BRONX NY, 10475",Mexican,40.863533,-73.82932
ICE SCREAM,"200 BAYCHESTER AVE BRONX NY, 10475","Ice Cream, Gelato, Yogurt, Ices",40.863533,-73.82932
GIOVANNI'S RESTAURANT,"3209 WESTCHESTER AVENUE BRONX NY, 10461",Pizza/Italian,40.85181,-73.82946
LEE XING RESTAURANT,"3207 WESTCHESTER AVENUE BRONX NY, 10461",Chinese,40.851788,-73.82948
CAPRI II PIZZA,"149 DREISER LOOP BRONX NY, 10475",Pizza,40.877327,-73.82953
KENNEDY FRIED CHICKEN,"157 DREISER LOOP BRONX NY, 10475",Chicken,40.877506,-73.82953
SIX HAPPINESS CHINESE RESTAURANT,"1378 CROSBY AVENUE BRONX NY, 10461",Chinese,40.84032,-73.82958
DUNKIN' DONUTS,"2035 BARTOW AVE BRONX NY, 10475",Donuts,40.86925,-73.82958
GOURMET TO GO,"141 DREISER LOOP BRONX NY, 10475",American,40.87716,-73.8296
BAGELS ON BARTOW,"2033 BARTOW AVE BRONX NY, 10475",American,40.869232,-73.82967
GUANG HUI RESTAURANT,"125 DREISER LOOP BRONX NY, 10475",Chinese,40.876835,-73.82977
ZHANG'S CHINA PALACE,"3014 MIDDLETOWN ROAD BRONX NY, 10461",Chinese,40.843967,-73.83004
JOE'S PIZZA,"3009A MIDDLETOWN ROAD BRONX NY, 10461",Pizza,40.84398,-73.83005
OUTBACK STEAKHOUSE,"270 BAYCHESTER AVE BRONX NY, 10475",Steak,40.865185,-73.83007
JIMMY RYAN'S,"3005 MIDDLETOWN ROAD BRONX NY, 10461",American,40.843925,-73.83023
Sushi Q,"1610 CROSBY AVE BRONX NY, 10461",Japanese,40.844227,-73.83053
LETTUCE EAT,"1633 CROSBY AVE BRONX NY, 10461",American,40.844692,-73.830734
CHIRPING CHICKEN,"3048 BUHRE AVENUE BRONX NY, 10461",Chicken,40.84755,-73.830795
PELHAM DELITE,"1650 CROSBY AVE BRONX NY, 10461",Bakery,40.84485,-73.830826
TULCINGO CAFE,"3041 BUHRE AVE BRONX NY, 10461",Mexican,40.84755,-73.83083
JUICE RITE,"3042 BUHRE AVE BRONX NY, 10461","Juice, Smoothies, Fruit Salads",40.847504,-73.830925
AMBER ASIAN BISTRO,"2960 MIDDLETOWN RD BRONX NY, 10461",Asian,40.843754,-73.831
BUHRE TOP TORTILLAS,"3038 BUHRE AVE BRONX NY, 10461",Tex-Mex,40.84747,-73.83101
PANERA BREAD,"340 BAYCHESTER AVENUE BRONX NY, 10475",Sandwiches,40.8677,-73.831215
STARBUCKS COFFEE #49450,"346 BAYCHESTER AVE BRONX NY, 10475",Coffee/Tea,40.867794,-73.83125
NEW YORK CHICKEN & GRILL,"3816 DYRE AVE BRONX NY, 10466",American,40.888115,-73.83128
NEW YORK CHICKEN & GRILL,"3816 DYRE AVE BRONX NY, 10466",Chicken,40.888115,-73.83128
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,"3818 DYRE AVENUE BRONX NY, 10466",Caribbean,40.888138,-73.83128
FAITHY'S KITCHEN,"3907 DYRE AVENUE BRONX NY, 10466",Caribbean,40.889366,-73.83128
FRECKLE JUICE,"3828 DYRE AVE BRONX NY, 10466","Juice, Smoothies, Fruit Salads",40.888256,-73.83129
CHEN XIN LUNG CHINESE RESTAURANT,"3828B DYRE AVE BRONX NY, 10466",Chinese,40.888264,-73.83129
MARTIN'S FOODZ 2 GO,"3836 DYRE AVE BRONX NY, 10466",Caribbean,40.88835,-73.83129
DYRE AVENUE DINER,"3803 DYRE AVENUE BRONX NY, 10466",American,40.887947,-73.8313
ROYAL CARIBBEAN BAKERY & RESTAURANT,"3815 DYRE AVE BRONX NY, 10466",Caribbean,40.88809,-73.8313
POPEYES LOUISIANA KITCHEN,"360 BAYCHESTER AVENUE BRONX NY, 10475",Chicken,40.868023,-73.831345
ESCAPE INTERNATIONAL CUISINE,"1841 HOBART AVE BRONX NY, 10461",American,40.848404,-73.831406
SHAMROCK INN,"1729 CROSBY AVENUE BRONX NY, 10461",Irish,40.845856,-73.83149
CROSBY PIZZA STOP,"1731 CROSBY AVENUE BRONX NY, 10461",Pizza,40.845882,-73.83151
GEORGES FAMILY RESTAURANT,"3000 BUHRE AVENUE BRONX NY, 10461",American,40.847256,-73.831566
DUNKIN' DONUTS,"1752 CROSBY AVENUE BRONX NY, 10461",Donuts,40.84621,-73.8317
VIVIENNE'S,"3044 WESTCHESTER AVENUE BRONX NY, 10461",American,40.84747,-73.83174
HONEY'S THAI PAVILION,"3036 WESTCHESTER AVENUE BRONX NY, 10461",Thai,40.847443,-73.83177
K LOVE Q CHINESE RESTAURANT,"1759 CROSBY AVENUE BRONX NY, 10461",Chinese,40.846294,-73.83178
MANGIAS PIZZA AND PIZZA,"1760 CROSBY AVENUE BRONX NY, 10461",Pizza/Italian,40.84633,-73.83178
TAQUERIA GUERRERO,"1761 CROSBY AVENUE BRONX NY, 10461",Mexican,40.846325,-73.831795
CARIBE RESTAURANT,"1762 CROSBY AVE BRONX NY, 10461","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.84636,-73.8318
NOVELTY EATS,"1765 CROSBY AVE BRONX NY, 10461",American,40.846382,-73.83183
LUCCA RESTAURANT,"3019 WESTCHESTER AVENUE BRONX NY, 10461",Italian,40.847397,-73.83184
MINGLES,"4012 BOSTON ROAD BRONX NY, 10475",Caribbean,40.88457,-73.83215
BASES LOADED SPORTS BAR,"2997 WESTCHESTER AVE BRONX NY, 10461",American,40.847084,-73.83218
QUALITY GRILL & GYRO,"1805 EDISON AVE BRONX NY, 10461",Greek,40.847305,-73.83243
BEST CHINESE RESTAURANT,"4004A BOSTON ROAD BRONX NY, 10475",Chinese,40.884525,-73.83248
PELHAM BAY CAFE,"1738 EDISON AVE BRONX NY, 10461",Coffee/Tea,40.845978,-73.8326
MAMAJUANA CAFE,"3233 EAST TREMONT AVENUE BRONX NY, 10461",Spanish,40.835674,-73.83304
PELHAM BAY DINER,"1920 EAST GUN HILL ROAD BRONX NY, 10469",American,40.86348,-73.83311
PIZZA HUT,"2829 EDSON AVENUE BRONX NY, 10469",Pizza,40.869034,-73.83351
JOYFUL DRAGON CHINESE RESTAURANT,"2829 EDSON AVENUE BRONX NY, 10469",Chinese,40.869034,-73.83351
DUNKIN' DONUTS,"1930 BARTOW AVENUE BRONX NY, 10469",Donuts,40.868153,-73.83366
HAVANA CAFE,"3151 EAST TREMONT AVENUE BRONX NY, 10461","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.83772,-73.83462
CHUCK E. CHEESE'S,"1816 EAST GUNHILL ROAD BRONX NY, 10469",Pizza,40.864353,-73.83465
LA SALLE BAKERY,"3139 EAST TREMONT AVENUE BRONX NY, 10461",Bakery,40.83793,-73.83482
DUNKIN' DONUTS,"1780 EAST GUNHILL ROAD BRONX NY, 10469",Donuts,40.86466,-73.83518
NEW PEARL OF CHINA,"2830 MIDDLETOWN ROAD BRONX NY, 10461",Chinese,40.84348,-73.83544
JEN'S RESTAURANT,"3110 EAST TREMONT AVENUE BRONX NY, 10461",Chinese,40.838486,-73.835464
FRANK'S PIZZERIA/DA FRANCO AND TONY RESTAURANT,"2823 MIDDLETOWN ROAD BRONX NY, 10461",Italian,40.84348,-73.8359
SUBWAY,"837 HUTCHINSON RIVER PKWY BRONX NY, 10465",Sandwiches,40.822014,-73.83599
APPLEBEE'S,"815 HUTCHINSON RIVER PARKWAY BRONX NY, 10465",American,40.822247,-73.836
SARKU JAPAN,"815 HUTCHINSON RIVER PKWY BRONX NY, 10465",Japanese,40.822247,-73.836
HAVANA EXPRESS,"815 HUTCHINSON RIVER PKWY BRONX NY, 10465",Mexican,40.822247,-73.836
POPEYES,"815 HUTCHINSON RIVER PKWY BRONX NY, 10465",Chicken,40.822247,-73.836
STARBUCKS COFFEE,"815 HUTCHINSON RIVER PKWY BRONX NY, 10465",Coffee/Tea,40.822247,-73.836
MUTZ,"815 HTCHNSON RIV PKWY BRONX NY, ",Italian,40.822247,-73.836
FIVE GUYS FAMOUS BURGERS AND FRIES,"815 HUTCHINSON RIVER PKWY BRONX NY, 10465",American,40.822247,-73.836
THE DUMPLING COVE,"1530 E. 222ND STREET BRONX NY, 10469",Caribbean,40.87625,-73.83649
COUNTRY THYME CUISINE,"1455 EAST  222 STREET BRONX NY, 10469",Caribbean,40.87663,-73.83737
TREMONT EAST DINER,"3007 EAST TREMONT AVENUE BRONX NY, 10461",American,40.84024,-73.837555
BURGER KING,"1590 HUTCHINSON RIVER PARKWAY BRONX NY, 10461",Hamburgers,40.842728,-73.83767
CARIDAD & LOUIE'S RESTAURANT,"1660 EAST GUN HILL ROAD BRONX NY, 10469",Spanish,40.86606,-73.837776
FAMILY PIZZA,"3363 BAYCHESTER AVE BRONX NY, 10469",Pizza,40.87971,-73.837875
DUNKIN' DONUTS,"1320 HUTCHINSON RIVER PARKWAY BRONX NY, 10461",Donuts,40.840965,-73.83822
TRUMP GOLF LINKS AT FERRY POINT,"500 HUTCHINSON RIVER PKWY BRONX NY, 10465",American,40.83386,-73.83824
THE WATERFRONT (TRUMP GOLF LINKS),"500 HUTCHINSON RIVER PKWY BRONX NY, 10465",Other,40.83386,-73.83824
KLASSIQUE,"3813 BOSTON ROAD BRONX NY, 10466",Caribbean,40.881454,-73.83826
Irie Corner Dumpling Shop,"3435 BAYCHESTER AVE BRONX NY, 10469",Caribbean,40.88046,-73.838295
JAMEX SPORTS BAR,"3447 BAYCHESTER AVE BRONX NY, 10469",Caribbean,40.880585,-73.83837
DUNKIN' DONUTS,"3804 BOSTON ROAD BRONX NY, 10475",Donuts,40.88135,-73.83849
DUNKIN' DONUTS,"2973 EAST TREMONT AVENUE BRONX NY, 10461",Donuts,40.84087,-73.839294
KFC,"3770 BOSTON ROAD BRONX NY, 10469",Chicken,40.881035,-73.83935
TRIPLE T PIZZA & BURGERS,"3740 BOSTON ROAD BRONX NY, 10469",Pizza,40.880753,-73.8401
Do Me A Favor,"1332 COMMERCE AVE BRONX NY, 10461",Bakery,40.83637,-73.84038
ACRI CAFE,"1315 COMMERCE AVE BRONX NY, 10461",Pizza/Italian,40.837547,-73.84108
TOWER CAFE (HUTCH METRO CENTER),"1250 WATERS PLACE BRONX NY, 10461",American,40.84605,-73.841606
WHITE CASTLE,"3663 BOSTON ROAD BRONX NY, 10466",Hamburgers,40.880005,-73.841805
SIDE STREET LOUNGE,"1330 BLONDELL AVENUE BRONX NY, 10461",Other,40.84149,-73.84184
WHITE CASTLE,"2900 EAST TREMONT AVENUE BRONX NY, 10461",Hamburgers,40.84063,-73.84198
GOLDEN FOUNTAIN RESTAURANT,"3925 BAYCHESTER AVE BRONX NY, 10466",Caribbean,40.888943,-73.84215
STOP & GO DELI,"134 WESTCHESTER SQ BRONX NY, 10461",Delicatessen,40.840893,-73.84244
NATIONAL DINER,"135 WESTCHESTER SQ BRONX NY, 10461",American,40.840904,-73.84248
JULESRUBY LOUNGE RENTAL,"135 WESTCHESTER SQUARE BRONX NY, 10461",American,40.840904,-73.84248
XIUN WEI CHINESE RESTAURANT,"124 WESTCHESTER SQUARE BRONX NY, 10461",Chinese,40.840923,-73.84249
WILLIAMS CAFE,"122 WESTCHESTER SQ BRONX NY, 10461",American,40.840927,-73.8425
METRO CAFE,"1200 WATERS PLACE BRONX NY, 10461",American,40.84638,-73.842674
MERCY CAFE,"1200 WATERS PL BRONX NY, 10461",American,40.84638,-73.842674
SKYLINE BAR & LOUNGE,"1511 WILKINSON AVE BRONX NY, 10461",American,40.852802,-73.842705
NO. 1 CHINESE RESTAURANT,"3004 EASTCHESTER RD BRONX NY, 10469",Chinese,40.86956,-73.84272
TEXAS CHICKEN,"78 WESTCHESTER SQ BRONX NY, 10461",American,40.84107,-73.84273
SUBWAY,"74 WESTCHESTER SQ BRONX NY, 10461",American,40.84108,-73.84275
